"Start Time,""Period (min)"",""NE Name"",""FEGE"",""VS.FEGE.RXMEANSPEED (kbit/s)"",""VS.FEGE.TXMEANSPEED (kbit/s)"""
"04/19/2018 07:00:00,30,KTPHR05,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR02,""PN=0, SN=19, SRN=0"",169268.332,561710.399"
"04/19/2018 07:00:00,30,KTPHR02,""PN=0, SN=18, SRN=0"",1.024,1.023"
"04/19/2018 07:00:00,30,KTPHR02,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 07:00:00,30,KTPHR02,""PN=0, SN=22, SRN=0"",5.336,0.261"
"04/19/2018 07:00:00,30,KTPHR02,""PN=1, SN=23, SRN=0"",461319.679,57647.641"
"04/19/2018 07:00:00,30,KTPHR02,""PN=0, SN=23, SRN=0"",12116.636,11067.395"
"04/19/2018 07:00:00,30,KTPHR02,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR02,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR07,""PN=0, SN=18, SRN=0"",103500.768,323014.048"
"04/19/2018 07:00:00,30,KTPHR07,""PN=0, SN=23, SRN=0"",11293.047,10225.961"
"04/19/2018 07:00:00,30,KTPHR07,""PN=0, SN=22, SRN=0"",5.335,0.261"
"04/19/2018 07:00:00,30,KTPHR07,""PN=1, SN=22, SRN=0"",5.036,0.256"
"04/19/2018 07:00:00,30,KTPHR07,""PN=1, SN=23, SRN=0"",267934.936,40772.592"
"04/19/2018 07:00:00,30,KTPHR07,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:00:00,30,KTPHR07,""PN=0, SN=19, SRN=0"",1.133,1.023"
"04/19/2018 07:00:00,30,KTPHR07,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR04,""PN=1, SN=23, SRN=0"",5.034,0.256"
"04/19/2018 07:30:00,30,KTPHR04,""PN=0, SN=23, SRN=0"",5.335,0.261"
"04/19/2018 07:30:00,30,KTPHR04,""PN=0, SN=18, SRN=0"",98341.723,397608.614"
"04/19/2018 07:30:00,30,KTPHR04,""PN=1, SN=22, SRN=0"",335435.879,35818.469"
"04/19/2018 07:30:00,30,KTPHR04,""PN=0, SN=22, SRN=0"",9004.634,8131.537"
"04/19/2018 07:30:00,30,KTPHR04,""PN=1, SN=19, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR04,""PN=0, SN=19, SRN=0"",1.024,1.023"
"04/19/2018 07:30:00,30,KTPHR04,""PN=1, SN=18, SRN=0"",0,0"
"04/19/2018 07:30:00,30,KTPHR05,""PN=1, SN=22, SRN=0"",5.035,0.256"
"04/19/2018 07:30:00,30,KTPHR05,""PN=0, SN=22, SRN=0"",5.335,0.261"
